supplier_uuid,supplier_name,contact_name,email,country,phone,performance_score,last_audit_date,preferred_supplier,supplier_uuid,status,compliance_score,last_inspection,supplier_uuid,category,rating,last_order_date
8f9797b0-6d7c-43c9-b4a6-9f3c8d3aed99,Rodriguez Ltd,Kimberly Davenport,russellwilliams@nolan-flynn.com,United Arab Emirates,(833)215-8692x322,4.49,2023-10-01,Yes,0c3a6af0-cad9-4ca9-865f-38ffbeadd82a,active,80.1,2025-03-13,0c3a6af0-cad9-4ca9-865f-38ffbeadd82a,Logistics,3.47,2025-01-01
ee49f329-c84a-4b28-950a-1b46ecab3301,Pham-Shields,Debra Cobb,reyesbenjamin@walker-velasquez.info,Guernsey,733-203-6541x4586,4.08,2023-08-15,No,199f5582-7407-4b46-a2ea-9514e719a312,inactive,91.2,2024-09-07,199f5582-7407-4b46-a2ea-9514e719a312,Raw Materials,1.88,2023-12-25
94a1875d-2db6-4edb-82de-ffccf86c2ca2,Johnson-Carlson,Richard Graham,cruzbarbara@williams-graham.net,Uzbekistan,+1-635-661-5951,1.76,2024-09-21,No,86cd19b5-7572-4920-80da-2406d1498761,pending,67.3,2024-08-07,86cd19b5-7572-4920-80da-2406d1498761,Raw Materials,2.83,2023-10-25
4bb00f20-b27c-4026-a703-b6365380b904,"Martinez, Fisher and Bentley",Stephanie Gilbert,richard04@clark-floyd.org,Palau,577-673-8721x48951,3.92,2023-11-03,No,433ebdf6-1ac4-4e35-b2ab-b4a505936fba,inactive,96.6,2025-03-14,433ebdf6-1ac4-4e35-b2ab-b4a505936fba,Raw Materials,4.26,2025-01-03
0bd4a990-0640-4e0f-a5b8-fd4b32fa2de8,Riggs PLC,Angel Perry,jennifercruz@sanchez-douglas.com,Uganda,001-716-932-8708x31727,3.93,2024-08-12,No,63c50cd3-e911-4ba1-834f-36da5a8b42b9,inactive,91.4,2024-08-29,63c50cd3-e911-4ba1-834f-36da5a8b42b9,Manufacturing,2.38,2023-12-07
6d3ee1dc-8139-4443-a45b-712eb8225688,"Griffin, Moore and Hensley",Paul Larsen,katie87@allen.com,Faroe Islands,958-812-2362x31665,4.26,2023-07-07,Yes,c3bae478-f245-49a5-a009-63b8794b0a09,active,83.1,2024-07-16,c3bae478-f245-49a5-a009-63b8794b0a09,Logistics,1.73,2023-09-11
e7a37e81-63b4-408b-ab8e-869fd5385b0e,"Shah, Smith and Gilmore",Karen Bender,karen68@navarro.info,Cyprus,267-806-5627x298,2.0,2024-07-28,No,78eefa7a-fa0a-4acb-a951-027b53ffd1eb,active,95.1,2024-12-27,78eefa7a-fa0a-4acb-a951-027b53ffd1eb,Raw Materials,4.39,2024-08-03
a48b3dbe-157d-44a1-86f0-28ffa9ba5a27,Taylor-Murray,James Lewis,matthew64@king-miller.com,San Marino,+1-205-431-0033,4.21,2023-11-13,No,b9c3cc98-747a-4bac-8dfd-b74fca621b3e,inactive,77.9,2024-08-27,b9c3cc98-747a-4bac-8dfd-b74fca621b3e,Raw Materials,1.49,2023-12-04
90604f62-1d48-4071-ab61-a7b1793b4c32,Marshall LLC,Carol Lawson,stricklandfrank@rodriguez-johnson.com,Morocco,+1-866-731-9314x91905,1.93,2023-07-12,No,fe3d9753-db9c-46cb-b6fc-c6bf38f4b819,inactive,68.0,2025-04-30,fe3d9753-db9c-46cb-b6fc-c6bf38f4b819,Manufacturing,2.15,2025-04-07
d97dc9cd-033d-4bce-975a-ed2ca5c5650c,Short-Garcia,Madison Poole,ryangross@nelson.info,Lao People's Democratic Republic,(294)953-1473x79965,3.5,2025-02-03,No,a09c7993-9e44-45af-821e-103443f96c59,active,77.0,2024-12-20,a09c7993-9e44-45af-821e-103443f96c59,Manufacturing,3.25,2024-07-20
5ad5cf06-364d-4c87-bcd0-129d2e8d0e87,Peterson-Beard,Desiree Smith,christophercortez@peters-allen.info,Oman,001-977-701-4363x495,3.49,2024-03-29,No,73249fa9-8677-4fb4-b836-25d6ebcdad85,active,73.9,2024-05-23,73249fa9-8677-4fb4-b836-25d6ebcdad85,Logistics,3.89,2023-05-25
5a104129-54ae-4d1b-8ce6-424dbef59fe6,"Chavez, Parker and Hall",Emily Newton,jamesrodgers@hardy-bray.net,Nepal,213-643-5240x8240,3.32,2024-10-13,Yes,9bc3f140-3f36-4300-bacb-af63f14c261f,pending,77.7,2024-06-29,9bc3f140-3f36-4300-bacb-af63f14c261f,Manufacturing,2.38,2023-08-08
c0b6fce2-de53-490a-a34b-6cf62053da42,Garcia-Smith,John Peterson,kingmichelle@short.info,Barbados,001-802-529-4131,2.73,2024-12-10,No,f83c5357-bf6f-4cc4-a4a7-bbde3a8ff93e,active,85.4,2025-05-22,f83c5357-bf6f-4cc4-a4a7-bbde3a8ff93e,Logistics,1.87,2025-05-22
715629ee-e893-4e3d-b354-ea6f61607459,Dalton-Branch,Marc Lynch,mezajared@baker.com,Dominican Republic,(681)220-6797,1.36,2023-11-08,Yes,d0d99a25-2f92-49fe-96c6-2fb849f75a24,active,86.8,2025-01-07,d0d99a25-2f92-49fe-96c6-2fb849f75a24,Raw Materials,3.11,2024-08-25
dc0f2fcf-b3f6-4e0d-8860-3b32b4fb0eb9,Jones-Hall,Rick Lawrence,ronaldstephens@hernandez.com,Chad,999-347-1746x4887,1.65,2024-08-02,Yes,011a4361-1220-4f72-8cea-e9e0f6a6164b,active,74.9,2025-03-23,011a4361-1220-4f72-8cea-e9e0f6a6164b,Manufacturing,4.52,2025-01-21
5283aac7-bc0a-4a5d-ae99-6e3ee3b137fc,"Wright, Davis and Hayden",Laura Sampson,barbara27@pearson.org,Jordan,+1-671-875-6551x2567,4.48,2025-01-06,No,6d377252-2af6-42d8-b961-b8ce0454f5a1,active,95.3,2025-02-23,6d377252-2af6-42d8-b961-b8ce0454f5a1,Logistics,1.26,2024-11-27
168b1625-746f-4891-8964-fbbf8cd321b0,King-Wilson,Sharon Bryan,sandovalamy@brown-stone.org,Saudi Arabia,570.434.8247x7109,4.78,2024-01-05,No,f0b7b577-3bd6-416f-99c0-74d1736f82ff,pending,80.9,2024-06-14,f0b7b577-3bd6-416f-99c0-74d1736f82ff,Manufacturing,3.03,2023-07-09
17dc8eff-6872-43f9-8d60-593603802b70,Gay Inc,Bruce Collier,scantu@thornton.info,Ecuador,682.263.9821x465,4.19,2023-12-15,No,5901bfc5-0ba4-4309-8e78-2cb8a559f300,active,94.2,2024-11-16,5901bfc5-0ba4-4309-8e78-2cb8a559f300,Raw Materials,3.95,2024-05-14
9475dbc9-9641-4ced-9664-d2644c6e27ff,"Burns, Hernandez and Ryan",Juan Daniels,mcantu@allen.biz,Aruba,976-262-7028x95171,3.55,2024-11-01,Yes,166c3d7f-3dce-4e0c-a586-1976f2acf3fc,active,62.3,2025-01-27,166c3d7f-3dce-4e0c-a586-1976f2acf3fc,Raw Materials,2.38,2024-10-05
f84f16b3-a79f-4faf-9ef5-768968f45bce,Jones LLC,Michael Santos,melissa86@sims-clay.info,Tunisia,+1-309-313-4316,1.67,2024-04-11,Yes,ff17662b-06d9-4391-94ca-74050944c6e5,inactive,82.7,2024-12-03,ff17662b-06d9-4391-94ca-74050944c6e5,Manufacturing,1.95,2024-06-16
0769165f-e746-4cb9-8ca9-cf07b1aa0f6a,Nguyen Inc,James Thomas,yknight@jackson.org,Trinidad and Tobago,(693)479-2374x7407,1.67,2023-07-15,Yes,4b9a44b6-5510-477a-a4dd-a65967f2a7fb,inactive,71.9,2024-10-17,4b9a44b6-5510-477a-a4dd-a65967f2a7fb,Manufacturing,2.04,2024-03-15
966b1964-fcd6-4dca-9876-fd09f1faf665,Fowler-Coleman,Ryan Gonzalez,gcastaneda@james.org,French Polynesia,001-740-564-0909x743,3.25,2024-08-30,No,39d1ec1c-5276-46d3-aa6e-2c7c18391686,inactive,87.2,2024-10-13,39d1ec1c-5276-46d3-aa6e-2c7c18391686,Manufacturing,3.24,2024-03-07
c16d83ed-ad81-48bd-8029-13ec9ef2b93e,"Saunders, Becker and Taylor",Mark Williams,xjohnson@anderson.biz,China,928.658.8424,1.88,2024-11-18,No,05751e1f-49e3-4733-ae57-63cc6374911b,inactive,88.0,2024-06-13,05751e1f-49e3-4733-ae57-63cc6374911b,Raw Materials,4.49,2023-07-06
77e490c7-1d7b-4313-8de2-2f1c56b60afc,Taylor and Sons,Misty Whitney,christopher60@herrera-gibson.com,Myanmar,(651)837-0985x9317,3.91,2023-08-16,Yes,8563c5b4-f359-4c29-8a64-4ecf70d913b6,active,71.7,2024-10-15,8563c5b4-f359-4c29-8a64-4ecf70d913b6,Logistics,2.19,2024-03-10
4dead645-0986-4beb-b23e-323d0b9bd934,Wilson-Young,Jasmine Watson,umatthews@mcclure.com,Syrian Arab Republic,796.240.5377x3515,1.51,2024-03-09,Yes,8fb9eb30-e076-4169-8ce1-5a7c99755d8d,inactive,86.1,2024-10-07,8fb9eb30-e076-4169-8ce1-5a7c99755d8d,Manufacturing,2.03,2024-02-23
f2f25eef-1f45-4bfd-b7dc-67e030974b2b,Davis-Lewis,Tricia Williams,john29@jones.com,Namibia,635.429.0422,4.24,2023-08-11,No,d0f9994d-9579-4a83-a2da-b49ea2b536e4,active,75.3,2024-11-27,d0f9994d-9579-4a83-a2da-b49ea2b536e4,Raw Materials,4.6,2024-06-05
03cde2e3-21bd-4b41-8699-8731ddcf8766,Tyler-Young,Christopher Williams,vfox@alvarez.net,Nauru,278-239-0847,3.84,2025-05-21,Yes,844aad90-4098-499c-823e-761e45892470,inactive,70.7,2024-06-16,844aad90-4098-499c-823e-761e45892470,Manufacturing,3.77,2023-07-12
afa415e5-6d20-4496-a6d0-6371d8e88ebb,Henry Group,Bobby Franklin,martinezclaudia@kelley.net,French Polynesia,789.961.1836x736,4.79,2024-03-09,Yes,3f17c3c3-a64e-4e94-a5ef-53ce031a1a40,pending,77.4,2024-10-17,3f17c3c3-a64e-4e94-a5ef-53ce031a1a40,Raw Materials,1.08,2024-03-14
6d4067f4-5003-4b35-9857-8bafbac7e2b9,Ortega-Brooks,Thomas Jones,daviscolin@watson.net,Monaco,416-956-0494x51983,1.86,2023-11-02,No,0db5ed45-fcfc-4f44-867d-8b791b4522cf,inactive,76.0,2025-04-24,0db5ed45-fcfc-4f44-867d-8b791b4522cf,Raw Materials,4.65,2025-03-26
8e676a01-d86a-4460-99a1-120e1bb43332,Wilson-Ramirez,Jeffrey Hoffman,lynchdiane@adams.com,Uruguay,850-922-9612x01836,3.37,2024-01-27,No,010178e9-77f1-4e38-8c45-4c0b74bc14f1,inactive,74.4,2025-02-21,010178e9-77f1-4e38-8c45-4c0b74bc14f1,Manufacturing,4.28,2024-11-23
530ac1c7-b8ba-4368-8fc7-77685ebbcca5,"Carlson, Ware and Moore",Amber Miller,fstanley@ramos.com,Guatemala,(614)597-8403x69003,2.05,2024-12-03,No,f4ac6197-f31e-4081-bc7d-471a71cbc95c,pending,85.7,2025-02-26,f4ac6197-f31e-4081-bc7d-471a71cbc95c,Raw Materials,5.0,2024-12-02
53ffd3a2-4a19-4501-8169-b9fcc3a00c6f,Smith Ltd,Carl Patel,vincentwhitaker@jones-hensley.com,Jordan,6713596966,4.95,2024-03-14,No,502dc916-7b00-4e16-a762-329c38cffb0f,pending,85.4,2024-12-18,502dc916-7b00-4e16-a762-329c38cffb0f,Manufacturing,4.46,2024-07-15
cd2372c2-2bff-417b-9324-01fcf758dce2,"Stevens, Norris and Cox",Brian Graham,zwarren@reese-walker.com,Belarus,418.383.5523x12432,1.38,2023-09-29,Yes,cf170059-3280-44eb-9873-e3ac4f586137,inactive,99.7,2024-08-03,cf170059-3280-44eb-9873-e3ac4f586137,Manufacturing,4.39,2023-10-17
76c5a0dc-7e7e-4419-a0c1-4035c5d95f51,"Wolf, Cole and Glass",Madison Weber,edward17@welch-hogan.org,Azerbaijan,(881)947-7005x411,3.58,2024-07-20,No,71b3e4d6-0977-43b3-af29-d493fd7fbd90,inactive,88.4,2024-12-01,71b3e4d6-0977-43b3-af29-d493fd7fbd90,Logistics,2.15,2024-06-11
e5582e16-bd29-4de9-8ab4-923bf4488385,Cole PLC,Erica Alvarez,susanhayes@haas-miller.com,Armenia,677.888.9255,1.74,2024-03-16,Yes,12ea1618-e28d-4518-ae7b-da681c536e83,active,74.3,2024-10-30,12ea1618-e28d-4518-ae7b-da681c536e83,Manufacturing,1.05,2024-04-10
0d67d38e-990f-4c5b-adcc-3daf569f3ab3,"Holland, Jones and Davis",Diane Cummings,mathewaguilar@rangel.biz,Bulgaria,+1-214-786-5281x685,4.1,2024-01-03,No,6c51dcad-c246-47a3-b417-8bd992e04229,inactive,93.0,2025-03-22,6c51dcad-c246-47a3-b417-8bd992e04229,Manufacturing,4.91,2025-01-20
f29a6339-577b-455a-b6d5-5494f37fd50d,Lee-Cooke,Edward French,stanleynancy@anderson.org,Sudan,(970)565-3794,1.33,2024-06-16,Yes,9db7e77f-472d-4ac2-8958-f5b5fe219e91,inactive,96.2,2024-05-30,9db7e77f-472d-4ac2-8958-f5b5fe219e91,Logistics,2.0,2023-06-09
c8cc7cfe-cf01-4944-b731-57494f3949a8,Mckee-Lee,Laura Alexander,kimberly88@burch-montoya.org,Burundi,907-458-1814x124,2.51,2025-01-19,No,495f8947-449e-44c0-97c3-6a71ec02884b,active,88.6,2024-09-06,495f8947-449e-44c0-97c3-6a71ec02884b,Manufacturing,4.98,2023-12-23
38d77b9a-e916-4a57-b248-23ab177a8a5f,Wilkerson-Arias,James Brooks,xvang@johnson.com,Somalia,(220)347-2779,2.34,2023-06-05,Yes,5b4ee0c5-cf66-4bc3-b8c3-dfcaf1df46a0,pending,98.8,2024-09-21,5b4ee0c5-cf66-4bc3-b8c3-dfcaf1df46a0,Logistics,1.9,2024-01-22
8c7e6f42-2646-4af9-95c0-244d3735262d,"Lynch, Henderson and Parsons",Bryan Allen,fbrown@herrera.com,French Guiana,(209)853-9621x85188,1.45,2025-02-19,No,478141fd-729f-4472-ac41-79829787f16d,inactive,75.9,2024-08-13,478141fd-729f-4472-ac41-79829787f16d,Manufacturing,4.16,2023-11-05
fb25664d-630a-4767-a2bb-522b0b251279,King-Smith,Haley Quinn,ingramjill@anderson-bell.com,Suriname,+1-227-772-2170x4303,2.18,2025-04-04,No,84dc0f43-a977-4c3a-aa63-ab553bb91fa9,inactive,68.0,2024-09-09,84dc0f43-a977-4c3a-aa63-ab553bb91fa9,Raw Materials,3.81,2023-12-30
d0be73ee-fd37-4539-a5f2-02f983f02dc7,"Kennedy, Johnson and Lucas",Scott Williams,joshua56@paul-kline.biz,Guadeloupe,(877)458-4161,2.9,2024-06-24,No,fc242bde-683b-429a-bafc-3b4e908c8cf2,active,96.6,2025-02-02,fc242bde-683b-429a-bafc-3b4e908c8cf2,Raw Materials,2.72,2024-10-16
53f28f11-147f-4570-9a43-db54523ae993,"Phillips, Griffin and Robbins",Jeremy West,christina64@whitney.biz,Haiti,220.429.7021x35569,3.22,2024-09-30,No,296902d3-f0ab-49c8-9fc0-244157aa5ae5,active,73.0,2024-08-13,296902d3-f0ab-49c8-9fc0-244157aa5ae5,Logistics,1.65,2023-11-06
71a6014c-5f3c-44dc-9ef7-87b8f2e6195f,Berry PLC,Ernest Ramirez,johnsonjacob@hughes.com,Romania,339.747.3121x727,1.29,2024-09-22,Yes,c6b216df-7ae4-495e-9be0-bce6fc52cc61,pending,60.3,2025-01-25,c6b216df-7ae4-495e-9be0-bce6fc52cc61,Manufacturing,4.24,2024-09-30
8acbbe09-8ccc-4cea-909f-d8eeb5a47200,Vance-York,Tammy Little,william13@young.com,Guyana,+1-695-878-2911,3.11,2025-05-22,No,3bf07cc4-ba15-444a-b60b-b108d18c1169,inactive,93.2,2024-09-30,3bf07cc4-ba15-444a-b60b-b108d18c1169,Raw Materials,3.82,2024-02-10
6929de73-8693-4d9d-ba89-cbebb807d78a,Morrow-Jones,Maria Cole,david89@saunders.biz,Macao,7186242253,3.61,2025-01-30,Yes,efd227d6-e05d-4bdc-8052-b9cce828bb22,inactive,86.6,2025-02-23,efd227d6-e05d-4bdc-8052-b9cce828bb22,Raw Materials,4.87,2024-11-26
f4d375c1-a293-49fa-b240-d7a14027ab7d,"Hill, Weber and Mendez",Martin Vargas,georgeweber@morgan.com,Belgium,6946396907,1.12,2024-05-10,No,cc060bbf-b1d9-412d-9e00-15f64fa55812,pending,89.0,2024-12-22,cc060bbf-b1d9-412d-9e00-15f64fa55812,Logistics,4.48,2024-07-24
67f5ae02-af5b-4f47-8eae-71cfce000af0,Chavez-Barker,Jason Marshall,catherine55@travis.com,Malaysia,+1-415-337-1473,4.67,2023-06-28,No,677adc61-a062-4f97-a27d-74d02e1bd745,active,76.0,2025-05-15,677adc61-a062-4f97-a27d-74d02e1bd745,Raw Materials,4.21,2025-05-08
9d896047-dd39-4793-a257-a4a2f204be89,Wright-Grimes,Garrett Lane,james27@owens.com,Western Sahara,(687)233-9500x4797,1.3,2025-01-31,Yes,b7b6ccaf-62cb-41fc-b826-ba1b36e5b16a,active,68.2,2024-07-01,b7b6ccaf-62cb-41fc-b826-ba1b36e5b16a,Manufacturing,3.48,2023-08-12
43b47ee5-e1e8-4e7e-a249-8f666e51484d,"Diaz, Powell and Williams",Justin Cox,charles87@ramirez.com,Brunei Darussalam,865-258-5239,4.64,2023-06-25,No,a5c8c072-7a45-4841-9d09-53a0bd5ced10,active,82.4,2025-03-22,a5c8c072-7a45-4841-9d09-53a0bd5ced10,Logistics,4.14,2025-01-19
cdd0b4d4-5542-47de-b6ad-f48b2314d0c8,Stone-Hernandez,Brenda Velazquez,francisco94@rogers.org,French Southern Territories,505.251.6940x9749,3.21,2024-07-22,No,74558592-fe94-4ff1-9a90-62c73c406ca2,active,99.2,2024-08-09,74558592-fe94-4ff1-9a90-62c73c406ca2,Raw Materials,4.8,2023-10-28
b89f7039-a107-4c46-8634-17182ba6adb3,"Hampton, James and Underwood",Kenneth Graves,andrewedwards@gutierrez.biz,Macao,001-997-702-8385x78652,4.66,2024-06-25,No,c36ad335-4dae-4693-9e7a-457791638880,pending,91.3,2024-10-25,c36ad335-4dae-4693-9e7a-457791638880,Logistics,2.38,2024-03-30
b88e830f-de1e-494a-85a1-1f5cad05b912,"Schneider, Steele and Bishop",David Grant,shellyhendrix@bush-vaughn.info,Ghana,258.644.1986x6524,4.31,2025-04-20,Yes,81ae5c26-45e6-4ca3-a79f-078de9bce624,active,65.7,2024-11-19,81ae5c26-45e6-4ca3-a79f-078de9bce624,Logistics,3.83,2024-05-19
713f8f8c-ec8b-4537-98ab-4778143b45e3,"Scott, Mendoza and Harris",Taylor Horton,danielyang@sanchez.net,Czech Republic,+1-930-916-5712x0826,3.04,2024-09-09,No,eb125723-edd9-4249-a6f8-f882b907be84,inactive,67.9,2024-08-01,eb125723-edd9-4249-a6f8-f882b907be84,Manufacturing,3.06,2023-10-13
52380bf2-4988-4418-b6c3-1218c1836315,Brewer-Velez,Kenneth Nichols,gentrygregory@peck.biz,Solomon Islands,924.400.4991x5478,1.49,2025-02-03,No,d29b5e25-8f66-4b4d-8fd1-4bc6bf0a2066,inactive,95.7,2024-09-26,d29b5e25-8f66-4b4d-8fd1-4bc6bf0a2066,Manufacturing,4.85,2024-02-02
cf0e6d2b-315c-467a-85d8-a6ad77d0359e,Rivera Ltd,David Lopez,krystal93@carr.biz,Sweden,(585)916-1227x53046,1.06,2024-11-23,No,545eaa79-db9a-437a-a049-1fed86ab5a4c,inactive,64.9,2025-05-11,545eaa79-db9a-437a-a049-1fed86ab5a4c,Logistics,2.57,2025-04-30
951c25d5-4d4c-4280-9462-52e7f43ba052,"Berry, Green and Ward",Michael Marshall,richardshaw@carrillo.com,Heard Island and McDonald Islands,+1-533-527-2795x687,1.49,2024-10-01,No,274770a1-9f29-47df-95e9-76193e5ca817,active,65.8,2025-04-03,274770a1-9f29-47df-95e9-76193e5ca817,Manufacturing,1.98,2025-02-13
14f573d0-c991-4032-9f85-c77798874bfe,"Griffin, Padilla and Miller",Amy Kelley,ashleyhernandez@bond-ramos.com,Saint Barthelemy,001-871-987-0728,3.56,2024-07-08,No,8dac2784-6355-4c2b-8fe3-d3a8a8aa9846,inactive,89.2,2024-11-03,8dac2784-6355-4c2b-8fe3-d3a8a8aa9846,Logistics,1.5,2024-04-18
ce920136-ac3a-412f-b65e-6cb58f0d5540,Cummings-Foster,Nichole Lane,hendersonisabella@mcknight.info,Antigua and Barbuda,762-326-5676x6182,4.19,2023-09-30,No,1407983f-b388-481a-82c2-1e1f17ad582e,inactive,92.9,2025-05-19,1407983f-b388-481a-82c2-1e1f17ad582e,Manufacturing,3.01,2025-05-16
2099d180-8762-4997-a49f-7d888989c5ab,"Irwin, Davenport and Avila",Julie Ball,opatel@murray.com,Comoros,001-210-569-0331x1907,1.26,2024-11-14,No,9395f587-4602-41f6-bdce-1890f57e5464,active,92.6,2024-08-03,9395f587-4602-41f6-bdce-1890f57e5464,Logistics,3.19,2023-10-16
8a2db2e6-3bfd-48a6-b05f-ddf566fadca0,Webster Inc,Wyatt Young,barbara53@walter-odom.net,Cyprus,(744)808-9268x70568,3.36,2024-03-16,Yes,7b4a77e6-c3dd-4f02-a500-fb681fd6943e,active,86.5,2025-04-22,7b4a77e6-c3dd-4f02-a500-fb681fd6943e,Manufacturing,2.47,2025-03-23
c12169db-2f12-4150-a05f-b1eb4cc57e0d,"Wells, Atkinson and Turner",Renee Melendez,jfaulkner@anderson.com,Uzbekistan,551.583.0469x901,1.33,2024-05-07,No,088b7879-efee-4434-b0b8-b52a63f8eac4,active,79.3,2024-10-26,088b7879-efee-4434-b0b8-b52a63f8eac4,Logistics,2.3,2024-04-01
4d9dbaeb-553d-4625-a833-4da5de95d695,Lewis and Sons,Autumn Key,srocha@padilla.com,Singapore,767-585-4458x7717,1.57,2024-02-17,No,a41e1320-8f28-47a8-9d24-74ab5d83baf5,inactive,74.7,2024-06-28,a41e1320-8f28-47a8-9d24-74ab5d83baf5,Manufacturing,3.65,2023-08-05
dd34aa18-9001-4ed4-8bb4-01e769f753f1,Figueroa Inc,Timothy Riley,mphillips@hall-hudson.com,Luxembourg,+1-454-977-7252,4.13,2023-10-04,No,51c62a30-d323-4e73-ba9f-72f2df6a28de,inactive,95.2,2024-11-07,51c62a30-d323-4e73-ba9f-72f2df6a28de,Logistics,2.56,2024-04-25
a44d9fec-fd85-47fa-8ac9-7b01e3ad64d4,Warren Inc,Mary Duran,otaylor@jones.com,Cuba,275.609.9770x08860,2.67,2024-06-17,No,b793c642-e17e-4d37-9e52-3ceb20135be6,inactive,65.9,2024-07-05,b793c642-e17e-4d37-9e52-3ceb20135be6,Raw Materials,4.85,2023-08-19
d02b1243-8091-4ac1-8463-750e49646b96,"Craig, Drake and Browning",Brent Hernandez,christineking@adams-sanders.com,Iraq,993.234.1016x668,4.93,2024-08-30,Yes,64a8da03-0645-49c8-96c8-c80c22e11d85,inactive,61.9,2025-02-01,64a8da03-0645-49c8-96c8-c80c22e11d85,Raw Materials,4.16,2024-10-13
7ff6b824-152a-4aec-abdf-cb41b3eda8f1,Newman-Rivera,Valerie Jacobson,hallrachel@clay.com,Poland,689-402-5039x261,3.06,2024-07-08,No,301f5433-9cc3-4555-8eaa-b4169662fce2,active,82.6,2025-04-29,301f5433-9cc3-4555-8eaa-b4169662fce2,Logistics,4.28,2025-04-05
639fc471-d975-4f00-95ab-a8ae9112fbc0,"Mosley, Rivera and Campos",William Ramsey,brian63@peterson.org,Indonesia,001-350-647-7358x66296,2.52,2024-12-26,Yes,64a52526-4352-4aff-8007-8f905ef97dba,active,66.7,2024-09-09,64a52526-4352-4aff-8007-8f905ef97dba,Manufacturing,4.46,2023-12-29
